Hora,"Nombre completo del usuario","Usuario afectado","Contexto del evento",Componente,"Nombre evento",Descripción,Origen,"Dirección IP"
"16/10/2017 18:50","Admin Usuario",-,"Página Principal",Registros,"Informe de registros visto","The user with id '2' viewed the log report for the course with id '1'.",web,0:0:0:0:0:0:0:1
"16/10/2017 18:50","Admin Usuario",-,"Página Principal",Registros,"Informe de registros visto","The user with id '2' viewed the log report for the course with id '1'.",web,0:0:0:0:0:0:0:1
"16/10/2017 18:50","Admin Usuario",-,"Página Principal",Registros,"Informe de registros visto","The user with id '2' viewed the log report for the course with id '1'.",web,0:0:0:0:0:0:0:1
"16/10/2017 18:50","Admin Usuario",-,"Página Principal",Sistema,"Curso visto","The user with id '2' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"16/10/2017 18:50","Admin Usuario","Admin Usuario","Usuario: Admin Usuario",Sistema,"Tablero de eventos vistos","The user with id '2' has viewed their dashboard",web,0:0:0:0:0:0:0:1
"16/10/2017 18:50","Admin Usuario",-,Sistema,Sistema,"El usuario ha iniciado sesión","The user with id '2' has logged in.",web,0:0:0:0:0:0:0:1
"16/10/2017 18:50",-,-,"Página Principal",Sistema,"Curso visto","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"14/10/2017 09:57","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_enrolled_users' has been called.",ws,0:0:0:0:0:0:0:1
"14/10/2017 09:57","Admin Usuario","profesor profesor","Curso: curso2",Sistema,"Perfil de usuario visto","The user with id '2' viewed the profile for the user with id '6' in the course with id '3'.",web,0:0:0:0:0:0:0:1
"14/10/2017 09:57","Admin Usuario","profesor profesor","Usuario: profesor profesor",Sistema,"Perfil de usuario visto","The user with id '2' viewed the profile for the user with id '6'.",web,0:0:0:0:0:0:0:1
"14/10/2017 09:57","Admin Usuario",-,Sistema,Sistema,"El usuario ha iniciado sesión","The user with id '2' has logged in.",web,0:0:0:0:0:0:0:1
"14/10/2017 09:57",-,-,"Página Principal",Sistema,"Curso visto","The user with id '0' viewed the course with id '1'.",web,0:0:0:0:0:0:0:1
"14/10/2017 09:56","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_enrolled_users' has been called.",ws,0:0:0:0:0:0:0:1
"14/10/2017 09:11","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_users_courses' has been called.",ws,0:0:0:0:0:0:0:1
"13/10/2017 10:01","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_users_courses' has been called.",ws,0:0:0:0:0:0:0:1
"13/10/2017 10:01","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_users_courses' has been called.",ws,0:0:0:0:0:0:0:1
"13/10/2017 10:01","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_users_courses' has been called.",ws,0:0:0:0:0:0:0:1
"13/10/2017 10:00","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_users_courses' has been called.",ws,0:0:0:0:0:0:0:1
"13/10/2017 09:57","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_users_courses' has been called.",ws,0:0:0:0:0:0:0:1
"13/10/2017 09:56","profesor profesor",-,Sistema,Sistema,"Llamada a la función del ""web service""","The web service function 'core_enrol_get_users_courses' has been called.",ws,0:0:0:0:0:0:0:1
