Nombre evento,Componente,Descripción,palabra clave,repre,
Actividad reciente vista,null,The user with id '35065' viewed the recent activity report in the course with id '8354'.,user with id,id usuario,afectado y realiza la accion
Algún contenido ha sido publicado.,null,The user with id '7243' has posted content in the forum post with id '114492' in the discussion '44135' located in the forum with course module id '2174355'.,course with id,id curso,
Calificación borrada,null,The user with id '7243' deleted the grade with id '1373643' for the user with id '7047' for the grade item with id '66519'.,forum post with id,id post foro,
Carpeta actualizada,null,The user with id '7243' updated the folder activity with course module id '2411693'., in the discussion,id discusion,quiza se pueda generalizar solo con discussion
Categoría de preguntas creada,null,The user with id '7243' created the question category with id '11549'., module id,ide del modulo del curso,
Comentario creado,null,The user with id '7243' added the comment with id '32839' to the submission with id '360360' for the assignment with course module id '2838698'.,grade with id,id,"puede ser ocalificacion borrada o usuario calificado, 2 grade cada uno 1 id segundo item item id"
Comentario eliminado,null,The user with id '13881' deleted the comment with id '25367' from the submission with id '271247' for the assignment with course module id '2226064'.,category with id,id categoria,
Consulta respondida,null,"The user with id '35078' made the choice with id '468' in the choice activity
            with course module id '2835325'.",comment with id,id comentario,"add, deleted"
Curso actualizado,null,The user with id '7243' updated the course with id '8354'.,submission with id,presentación con id,
Curso buscado,null,"The user with id '35065' has searched the course with id '8354' for forum posts containing ""defensa"".", choice with id,repuesta id,
Curso restaurado,null,The user with id '7243' restored the course with id '8354'.,section number,numero seccion,
Curso visto,null,The user with id '7243' viewed the course with id '8354'.,elemento,id elemento,
,,The user with id '7243' viewed the section number '1' of the course with id '8354'.,submission and uploaded ,siempre parece q es 1,
Directorio descargado en formato Zip,null,The user with id '35065' downloaded a zip archive containing all the files from the folder activity with course module id '2411690'., the event,"calendario, evento creado, ultimo id el suyo",
Elemento borrado,null,El elemento con ID 23575 ha sido borrado.,for the user with id,id usuario afectado,puede que coincidan en algun momento
Elemento creado,null,Elementos creado con ID 16294.,started the attempt with id,id intento enviado,
Entrega creada.,null,The user with id '35065' created a file submission and uploaded '1' file/s in the assignment with course module id '2411685'.,viewed the report,vista del reporte,
Envío actualizado.,null,The user with id '35379' updated a file submission and uploaded '1' file/s in the assignment with course module id '2335529'.,with viewing mode,string,
Evento de calendario actualizado,null,The user with id '7243' updated the event '[E-MP] Entrega Práctica Obligatoria 2 - EPO2-2C' with id '78082'., enrolment method ,string metodo,
Evento de calendario borrado,null,The user with id '7243' deleted the event '[E-MP] Segunda prueba-1C' with id '67088'.,for the module ,string modulo,
Evento de calendario creado,null,The user with id '7243' created the event 'Feedback Cuestionario de evaluación de la asignatura Metodología de la Programación closes' with id '79807'.,has had their attempt with id,id intento abandonado,
Finalización de curso actualizado,null,The user with id '35078' updated the completion state for the course module with id '2377055' for the user with id '35078'.,has viewed the attempt with id,intento cuestionario visualizado,
Formulario de calificaciones visto,null,The user with id '7243' viewed the grading form for the user with id '35067' for the assignment with course module id '2226064'.,deleted the attempt with id,intento cuestionario eliminado,
Formulario de confirmación de entrega visto.,null,The user with id '35065' viewed the submission confirmation form for the assignment with course module id '2226071'.,has submitted the attempt with id,intento enviado,
Formulario de entrega visto.,null,The user with id '35065' viewed their submission for the assignment with course module id '2411685'.,The quiz attempt with id,id quiz????,
Ha comenzado el intento,null,The user with id '35379' has started the attempt with id '233733' for the quiz with course module id '2454971'.,post with id,id post,
Informe de actividad visto,null,The user with id '7243' viewed the outline activity report for the course with id '8354'.,discussion with id,id discusión,
Informe de calificación de vista simple visto.,null,The user with id '7243' viewed the singleview report in the gradebook.,updated the,que actualiza,
Informe de Consulta visto,null,"The user with id '7243' has viewed the report for the choice activity with course module id
            '2835325'",created the,que crea,
Informe de cuestionario visto,null,The user with id '2' viewed the report 'overview' for the quiz with course module id '2226047'.,deleted the,que elimina,
Informe de estadísticas de usuarios visto,null,The user with id '7243' viewed the user statistics report for the user with id '34000'., viewed the ,que mira,"duplicación en otras opciones no necesarias, solo necesario modulo de curso visto"
Informe de estadísticas visto,null,The user with id '7243' viewed the statistics report for the course with id '8354'.,question with id ,id quiestion,
Informe de notas de usuario visto,null,The user with id '7243' viewed the user report in the gradebook.,for the attempt with id,id,
Informe de participación visto,null,The user with id '7243' viewed the course participation report for the course with id '8354'.,The reset of the course with id '8354' has ended.,,
Informe de registros de usuario visto,null,The user with id '7243' viewed the user log report for the user with id '32303'.,The reset of the course with id,ide curso,reinicio del curso finalizado
Informe de registros visto,null,The user with id '7243' viewed the log report for the course with id '8354'.,viewed the scorm report,string,
Informe de resultados visto,null,The user with id '7243' viewed the outcomes report in the gradebook.,submitted response for,string,
Informe de resumen de notas visto,null,The user with id '32089' viewed the overview report in the gradebook.,to the user with id,id usuario afectado,
