palabra clave,repre,,Método ,
category with id,id categoría,,",,,,,,",
choice with id,repuesta id,,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=mod_choice_get_choices_by_courses&courseids[0]=2,
comment with id,id comentario,"add, deleted",core_comment_get_comments,me faltan argumentos……
course with id,id curso,,UBULog.session.getActualCourse(),
created the,que crea,,?????,
deleted the,que elimina,,?????,
deleted the attempt with id,intento cuestionario eliminado,,…..,
discussion,id discusión,,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=mod_forum_get_forum_discussion_posts&discussionid=1,
,,,,
elemento,id elemento,,",,,,,,",
enrolment method ,string método,,coges string,
for the attempt with id,id,,…..,
for the module ,string modulo,,coger string,
for the user with id,id usuario afectado,puede que coincidan en algún momento,usuario afectado,
forum post with id,id post foro,,",,,,,,","parece que es post,el método arriba nombrado, pero no."
forum with id,id foro,,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=mod_forum_get_forums_by_courses&courseids[0]=2,"devuelve todos, después hay que buscar el correspondiente"
grade with id,id,"puede ser calificación borrada o usuario calificado, 2 grade cada uno 1 id segundo item item id",gradereport_user_get_grade_items,comprobar si es lo que queremos
has graded the submission, ha calificado el envío id,,",,,,,,",
has had their attempt with id,id intento abandonado,,",,,,,,",
has submitted the attempt with id,intento enviado,,",,,,,,",
has viewed the attempt with id,intento cuestionario visualizado,,",,,,,,",
item with id,item id,,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=gradereport_user_get_grade_items&courseid=3,todos los datos fintrar
launched the sco with id,id de algo????,,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=mod_scorm_launch_sco&scormid=3,tiene pinta
module id,ide del modulo del curso,,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=core_course_get_course_module&cmid=3,
post with id,id post,,",,,,,,","parece que es post,el método arriba nombrado, pero no."
question with id ,id quiestion,,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=mod_survey_get_questions&surveyid=1,
role with id,id rol asignado,,",,,,,,",
section number,numero sección,,",,,,,,",
started the attempt with id,id intento enviado,,",,,,,,",
submission and uploaded ,siempre parece q es 1,,,
submission with id,presentación con id,,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=mod_assign_get_submissions&assignmentids[0]=2,
submitted response for,string,,cogemos el string,
the event,"calendario, evento creado, ultimo id el suyo",,http://localhost/moodle//webservice/rest/server.php?wstoken=9a5e85d1e61c1c42509d77b34f26643a&moodlewsrestformat=json&wsfunction=core_calendar_get_calendar_events&events[eventids][0]=1&events[courseids][0]=2&events[groupids][0]=0,se debe estar en los grupos para poder verlos
The quiz attempt with id,id quiz????,,……,
to the user with id,id usuario afectado,,coger usuario,
The user with id,id usuario,afectado y realiza la acción,coger usuario,
viewed the report,vista del reporte,,"coger string en una y en otra no, esta duplicado",
viewed the scorm report,string,,coger string,
with viewing mode,string,,coger string,
The quiz attempt with id,,,…..,
